"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.757320313E0,-1.300096810E-1,9.918204546E-1,-5.435943604E-5
1.762320313E0,-1.084519148E0,2.466877699E-1,4.099121094E-1
1.767320313E0,-1.787786603E0,-3.002651930E-1,9.920816422E-1
1.772320313E0,-2.510800600E0,1.179019213E-1,1.723387718E0
1.777320313E0,1.210745126E-1,6.347841024E-1,6.372270584E-1
1.782320313E0,1.553814113E-1,4.627023935E-1,3.105411530E-1
1.787320313E0,-3.405802846E-1,1.255801916E-1,2.205219269E-1
1.792320313E0,-1.633071452E-1,4.726052284E-3,-8.256721497E-2
1.797320313E0,-1.803633571E-2,-3.006958961E-2,-2.795791626E-2
1.802320313E0,-3.105683923E-1,-1.189088821E-2,2.369384766E-1
1.807320313E0,-5.776445866E-1,1.121687889E-1,2.956628799E-1
1.812320313E0,-5.216792226E-1,1.036520004E-1,1.837711334E-1
1.817320313E0,-5.185300112E-2,3.707635403E-2,1.416072845E-1
1.822320313E0,4.246599078E-1,-7.332384586E-2,2.099390030E-1
1.827320313E0,4.319913983E-1,-2.450978756E-1,3.487291336E-1
1.832320313E0,-1.350592226E-1,-3.273932934E-1,6.044797897E-1
1.837320313E0,-3.804374337E-1,-3.786728382E-1,8.648357391E-1
1.842320313E0,-2.739666700E-1,-3.657925129E-1,1.080423355E0
1.847320313E0,-9.407794476E-2,-3.032330275E-1,1.243419647E0
1.852320313E0,1.027835831E-1,-2.251305580E-1,1.231553078E0
1.857320313E0,2.539218962E-1,-1.732738018E-1,1.171628952E0
1.862320313E0,3.017024100E-1,-1.807205677E-1,1.094869614E0
1.867320313E0,2.269710898E-1,-1.858391762E-1,9.684925079E-1
1.872320313E0,8.831974864E-2,-1.540882587E-1,7.922067642E-1
1.877320313E0,4.058806598E-2,-4.465699196E-2,5.509567261E-1
1.882320313E0,1.879472733E-1,7.140457630E-2,3.252267838E-1
